#NABSA,#CLEM,#RATIO
concep_rate_assym,ConceptionRateAsymptote,1
concep_rate_coeff,ConceptionRateCoefficient,1
concep_rate_incpt,ConceptionRateIntercept,1
birth_SRW,SRWBirth,1
cashmere_coeff,CashmereCoefficient,1
Critical_cow_wt,CriticalCowWeight,0.01
grwth_coeff1,AgeGrowthRateCoefficient,1
grwth_coeff2,SRWGrowthScalar,1
intake_coeff,IntakeCoefficient,1
intake_incpt,IntakeIntercept,1
IPI_coeff,InterParturitionIntervalCoefficient,1
IPI_incpt,InterParturitionIntervalIntercept,1
Joining_age,MinimumAge1stMating,1
Joining_size,MinimumSize1stMating,0.01
juvenile_mort_coeff,JuvenileMortalityCoefficient,1
juvenile_mort_exp,JuvenileMortalityExponent,1
juvenile_mort_max,JuvenileMortalityMaximum,0.01
kg_coeff,EGrowthEfficiencyCoefficient,1
kg_incpt,EGrowthEfficiencyIntercept,1
kl_coeff,ELactationEfficiencyCoefficient,1
kl_incpt,ELactationEfficiencyIntercept,1
km_coeff,EMaintEfficiencyCoefficient,1
km_incpt,EMaintEfficiencyIntercept,1
kme,Kme,1
Milk_Curve_nonsuck,MilkCurveNonSuckling,1
Milk_Curve_suck,MilkCurveSuckling,1
Milk_end,MilkingDays,30
Milk_intake_coeff,MilkIntakeCoefficient,1
Milk_intake_incpt,MilkIntakeIntercept,1
Milk_max,MilkPeakYield,1
Milk_offset_day,MilkOffsetDay,1
Milk_Peak_day,MilkPeakDay,1
Mortality_base,MortalityBase,0.01
protein_coeff,ProteinCoefficient,1
Rum_gest_int,GestationLength,1
SRW,SRWFemale,1
Twin_rate,TwinRate,1
wool_coeff,WoolCoefficient,1
